,smiles
0,!CCOC(=O)c1c(NC(=O)N(C)C(C)CC#N)sc(C)c1C~~~~~~~~~~~~~~~~
1,!CN(C(=O)c1ccc(F)c(F)c1)C1CCCCC1~~~~cc[nH]1~~~~~~~~~~~~~~~~
2,!CCCCc1nc(Cc2ccccc2OC)sc1CO~(C)=O~~~~~~~~~~~~1~~~~~~~~~~
3,!Cc1ccccc1-n1nnc(-c2nc(-c3ccccc3)no2)c1N~~~~~~~~~~~~~)~~
4,!O=S(=O)(NCc1ccc(Cn2cncn2)cc1)N1CCCCC1~~~~~~~~~~~~~~~~~~
5,!CCCC(C)CN(CC)C(=O)C1CC(=O)N(c2ccccc2)C1~~~~~~~~~~~~~~~~
6,!Cc1cc(C)c(NC(=O)CSc2ccccn2)c(C)c1~~~~~~~~~~~~~~~~~~~~~~
7,!Cc1cc(C(=O)N2CCC(CCn3cccn3)CC2)no1~(C)C~~~~~~~~~~~~~~~~
8,!CCc1ccc(-c2ccc(C(=O)N3CCC(n4cnnc4)CC3)o2)cc1~~~~~~~~1~~
9,!Cc1nc2c(s1)C(N(C)C(=O)c1ccc(-c3cc[nH]n3)cc1)CCC2~~~~~~~~~C
10,!CCC1CCC(N(C(=O)Cn2nc3n(c2=O)CCCCC3)C2CC2)CC1~~~~~~~~~~~
11,!N#Cc1ncn(CC(O)c2ccc(C(F)(F)F)cc2)n1~1cccc1~~~~~~~~~~~~~
12,!O=C(Nc1nc(-c2ccc3c(c2)CCC3)cs1)c1cc[nH]n1~~~~~~~~~~~~~~~~~
13,!CCOC(=O)N1CCN(C(=O)c2cnc(C)cn2)CC1~(=O)OC~~~~~~~~~~~~~~
14,!Cc1ccc(C)c(NCC(=O)NC2CCOCC2)c1~~~~cncc1~~~~~~~~~~~~~~~~
15,!COCCN1CC(C(=O)N(C)c2cccc(C(F)(F)F)c2)CC1=O~~~~~~~~~~~~~
16,!CC(=O)c1sc(-c2nc(C(C)C)nn2-c2cccc(C)n2)nc1C~~~~~~~~~~~~
17,!N#Cc1cccc(S(=O)(=O)Oc2ccc(F)cc2F)c1~~c[nH]1~~~~~~~~~~)~~~~
18,!CC(=O)Nc1cccc(CNC(=O)NCc2ccc(F)c(C)c2)c1~~~~~~~~~~~~~~~
19,!COCCNC(=O)NCc1noc(-c2ccsc2)n1~~~~~[nH]1~~~~~~~~~~~~~~~~~~~
20,!CCc1cnc(CN(C)C(=O)NCc2ccnn2C)s1~~nc1~~~~~~~~~~~~~~~~~~~
21,!O=C(COc1ccc2c(c1)C(=O)CC2)Nc1ccc2[nH]ncc2c1~~~~~~~~~~~~~~~
22,!O=C(NCc1ccccc1)c1c2c(nc3ccccc13)CCC2~O~~~~~~~~~~~~~~~~~
23,!O=C1c2ccccc2C(O)N1CCCc1ccccc1~~~cncn1~~~~~~~~~~~~~~~~~~
24,!O=C(NCCCc1ccccc1)C1C2CCCC21~(=O)N1CCCC1~~~~~1~~~~~~~~~~
25,!CC(=O)Nc1cccc(C(C)OC(=O)C(C)NC(=O)c2ccoc2)c1~~~~~~~~~~~
26,!COCCN(Cc1ccsc1)C(=O)c1cn2cc(C)ccc2n1~~~~~~~~~~~~~~~~~~~
27,!O=C(c1ccc(Cn2cc(Cl)cn2)o1)N1CCOCC1C1CC1~~~~~~~~~~~~~~~~~
28,!COc1ccccc1-c1csc(NC(=O)Cc2ccsc2)n1~~~~~~~~~~~~~~~~~~~~~
29,!COCCCNC(=O)Cc1nc(-c2cccs2)oc1C~~~~~~o1~~~~~~~~~~~~~~~~~
30,!CC1CC(C)CN(S(=O)(=O)NCCNc2ncccn2)C1~~~~~~~~~~~~~~~~~~~~
31,!CCCN(CCC)C(=O)c1ccc2c(c1)nnn2Cc1ccccc1~~~~~~~~~~~~~~~~~
32,!Cc1cccc(C(=O)NCC(=O)N(CCC#N)c2ccccc2)c1~~~~~~~~~~~~~~~~
33,!COc1ccc(NC(=O)c2cnn(-c3ccccc3)c2)cn1~~~~~~~~~~~~~~~~~~~
34,!COC(=O)c1cccc(CCNC(=O)c2cscn2)c1~~oc1~~~~~~~~~~~~~~~~~~
35,!CCN(CCNC(=O)NC(C)c1nncn1C)c1cccc(C)c1~~~~~~~~~~~~~~~~~~
36,!Cc1ccc(NC(=O)c2cccc3[nH]ccc23)cc1S(C)(=O)=O~~~~~~~~~~~~~~~
37,!Cc1ccsc1C(=O)NCc1ccccc1-n1cncn1~~~~~~c1~~~~~~~~~~~~~~~~
38,!CCNC(=O)c1cc(S(=O)(=O)NC2CCCC2)c(C)s1~~~~~~~~~~~~~~~~~~
39,!Cc1ccccc1N1CCN(C(=O)c2cnc3ccccn3c2=O)CC1~~~~~~~~~~~~~~~
40,!COc1ccc(CN2CCOCC2C2CC2)cc1F~c1ccco1~~~~~~~~~~~~~~~~~~~~
41,!CC(C)c1ncc(Cl)c(C(=O)N2CCN(CC(F)F)CC2)n1~~~~~~~~~~~~~)~~
42,!CCNC(=O)c1ccc(CNC(=O)NCCC(C)C)cc1~~~~~~~~~~~~~~~~~~~~~~
43,!O=C(c1ccccc1F)N1CCC(Oc2nncc3ccccc23)CC1~~~~~~~~~~~~~~~~
44,!COc1cccc(-n2ccnc2SCC(=O)N(C)CC(C)C)c1~~~~~~~~~~~~~~~~~~
45,!N#Cc1ccccc1COC(=O)Cc1csc(-c2nc[nH]n2)n1~~~~~~~~~~~~~~~~~~~
46,!CCc1cnc(CN(C)Cc2ccccc2C(F)(F)F)o1~~n1~~~~~~~~~~~~~~~~~~
47,!Cn1cnc(-c2ccc(F)cc2)c1NC(=O)c1ccc(=O)[nH]c1~~~~~~~~~~~~~~~
48,!O=C(Cn1nc2ccccn2c1=O)c1cccc(Cl)c1~~cccc1~~~~~~~~~~~~~~~~
49,!CCOC(=O)N1CCN(C(=O)Cc2ccc(-n3cccn3)cc2)CC1~~~~~~~~~~~~~
50,!CCOC(=O)C(C)NC(=O)CNC(=O)c1cc(C)cc(C)c1~~~~~1~~~~~~~~~~
51,!NC(=O)c1cc(Cl)ccc1NCC(=O)NCc1ccc2c(c1)OCO2~~~~~~~~~~~1~~
52,!CCCCNC(=O)N1CCCn2cnc(CNS(C)(=O)=O)c2C1~~~~~~~~~~~~~~~~~
53,!COC(=O)c1ccc2c(c1)[nH]c(=O)n2Cc1ccccc1C#N~~~~~~~~~~~~~~~~~
54,!N#Cc1ccc(CNc2cc(F)ccc2Cl)cc1~[nH]c1=O~C1~~~~~~~~~~~~~~~~~~~
