,smiles
0,Cc1cc(C)n(C(=O)CCOc2ccccc2)c(=O)n1
1,O=C(NCCCc1ccccc1)C1C2CCCC21
2,CC(C)=CCN1C(=O)C(C(C)C)N(C)c2ccc(N)cc21
3,Cn1cc(C(=O)N2CCC3(CC2)OCCO3)c2ccccc2c1=O
4,COc1ccc(CC2CCN(S(=O)(=O)N(C)C)CC2)cc1
5,COc1ccccc1C(=O)Nc1ccnn1Cc1ccccc1Cl
6,COc1ccc(C(=O)N2CCCN(c3ccccc3C#N)CC2)cn1
7,Cc1noc(C(C)NC(=O)Nc2ccc(Oc3ccccc3)cc2)n1
8,COCCc1nc(-c2ccc3c(c2)CCC(=O)N3C)cs1
9,C=CCn1c(=O)n(C)c(=O)c2cc(Br)ccc21
10,Cc1ccc(SCC(=O)N(C(C)C)C2CCOCC2)nc1
11,O=C(NCC1(c2ccc(Cl)cc2)CCC1)c1ccc[nH]1
12,CC(C)C(=O)N1CCN2C(=O)N(CC3CC3)CC2C1
13,COc1c(Cl)cc(Cl)cc1CCCC#N
14,O=C(Nc1ccccn1)c1cn(-c2ccc(C(F)(F)F)cn2)nn1
15,CC(C)(C)NC(=O)CCNC(=O)Nc1nccs1
16,NC(=O)c1cccc(CN(Cc2cocn2)Cc2nnnn2C2CC2)c1
17,O=C(COc1cccnc1)NCCc1nc(-c2ccc(F)cc2)n[nH]1
18,CC(=O)N(C)c1cccc(NC(=O)c2ccoc2C)c1
19,CCn1nc(C(=O)N2CCCC2c2ccncc2)ccc1=O
20,Cc1ccc(-n2c(SCC(=O)NC3CC3)nnc2N2CCCC2)cc1
21,COc1cc(CO)c(-c2cc(C)cc(C)c2OC)cc1OC
22,CCC(C)(C)NC(=O)CSc1nnc(C(F)(F)F)n1N
23,CCNC(=O)C1CCN(c2nccc(CCC(F)(F)F)n2)C1
24,O=C(NCc1ccoc1)c1cccc(Cl)c1Cl
25,COc1cc(CNC(=O)CC2CN(C(C)C)CCO2)ccn1
26,Cc1nc2c(c(=O)n1C)CCN(C(=O)c1ccccc1)CC2
27,COCCCNC(=O)C(C)N1CCc2c(nc(C)n2C2CC2)C1
28,CCOc1cc(C(=O)Nc2ccc3ccn(CC)c3c2)ccn1
29,CCNC(=O)C1CC(=O)N(c2ccnc(SC)n2)C1
30,Cc1cc(C)c(NC(=O)c2c(F)cccc2F)c(C)c1
31,COc1ccc(-c2cc(CC(=O)N3CCCC3)no2)cc1
32,CC(CO)CNC(=O)NCc1ccc(F)c(Cl)c1
33,COc1ccnc(NC(=O)CCc2cccc(C)c2)c1
34,COc1cccc2cc(C(=O)Nc3ccc(F)cc3)c(=O)oc12
35,CCOC(=O)N1CCN(C(=O)c2cc(Br)c[nH]2)CC1
36,O=C(CCn1cnnc1)N(Cc1ccccc1)c1ccccc1
37,CCC(C)C(NC(=O)c1cnc(C2CCCO2)s1)C(N)=O
38,COCCN1CCOCC12CCN(C(=O)c1cccc(C)n1)CC2
39,CCN1CCC2(CN(C(=O)NCc3ccco3)CC2C)C1=O
40,CN(Cc1ccccc1)Cc1nc2c(cnn2C)c(=O)[nH]1
41,CC(C)Cn1c(SCCCO)nnc1N1CCOCC1
42,CCC1COCCN1C(=O)Nc1ccc(Br)c(C)c1
43,CCCNC(=O)CCC(O)c1ccc2c(c1)OCCO2
44,CCN(Cc1cccc(NC(=O)NCC(=O)NC(C)(C)C)c1)C(C)=O
45,O=C(NCCCn1ncccc1=O)C1CC(=O)N(Cc2ccco2)C1
46,Cc1cc(N)ccc1NC(=O)C(C)Oc1ccc(Cl)cc1
47,CN(Cc1ccc(F)cc1)C(=O)CCC(=O)N1CCOC(C)(C)C1
48,COc1cccc(-c2n[nH]cc2C(=O)Nc2ccccc2Cl)c1
49,CCOc1ccccc1-c1nnc(SCC(=O)N2CCCC2)o1
50,CC(C)CCNC(=O)Cn1nc2n(c1=O)CCCCC2
51,COCCCOCC(=O)Nc1ccc(C)c(N)c1
52,COc1ncccc1C(=O)N1CCN(c2ccccc2F)CC1
53,CC(C)CC(C(=O)N1CCCC1)N1Cc2ccccc2C1=O
54,CC(NC(=O)C1COc2ccccc2O1)c1nc2ccccc2[nH]1
55,COC(=O)N1CCC(NC(=O)NCc2ccc(OC(C)C)nc2)CC1
56,Cc1ccc(N)cc1NC(=O)C(C)Oc1ccccc1F
57,CC1CN(c2ccccc2NC(=O)c2ccco2)CC(C)O1
58,Cc1cc(F)ccc1CCNC(=O)c1cnn(-c2ccccn2)c1C
59,CC(NC(=O)Nc1nnc(Cc2ccccc2)s1)c1ccncc1
60,Cc1sc(=O)n(CC(=O)Nc2ccccn2)c1C
61,Cc1cc(Cl)ccc1N(C)C(=O)CCCO
62,CCOc1ccc2c(c1)CCNC2c1ccncc1C
63,Fc1cc2c(cc1F)N(Cc1cncs1)CCN2
64,CC(C)n1cnnc1SCc1noc2c1CCCC2
65,O=C(Nc1cccc(Cn2ccnc2)c1)c1ccccc1Br
66,O=C(NCc1ccc(-n2cnc3ccccc32)cc1)C1CCC1
67,Cn1c(CNc2ccccc2-n2cccn2)nnc1C1CC1
68,CC(C)(C)OC(=O)N1CCN(CCc2cccnc2)CC1
69,Nc1nn(-c2ccccc2)cc1C(=O)Nc1ncccn1
70,CCN(Cc1cnc2ccccn12)C(=O)c1cc(C(C)(C)C)nn1C
71,CC(Oc1ccc(C#N)cc1)C(=O)NC(C)c1cc2ccccc2o1
72,COCCNC(=O)CNc1cccc(NC(=O)C(C)C)c1
73,CC(C)c1cccc2cc3c(N)nn(CCO)c3nc12
74,CCc1ccc(OC)c(CCN(C)C(=O)CC#N)c1
75,CSc1ncc2c(=O)n(CC(=O)NC(C)C3CC3)cnc2n1
76,Cc1nc(Cn2c(=O)c3c(C)n[nH]c3n(C)c2=O)n(C(C)(C)C)n1
77,COc1ccccc1CNC(=O)c1ccc(-c2ccccc2)[nH]c1=O
78,O=C(c1ccccc1F)N1CCC(Oc2nncc3ccccc23)CC1
79,COc1cc(OC)c(OC)cc1CNCC(F)(F)F
80,CCOc1cccc(C(=O)NCCNC(=O)c2cc(C)no2)c1
81,Cc1ccc(-c2nnc(Cc3nc(Cc4ccccc4)n[nH]3)o2)cc1
82,COCCn1cc(NC(=O)c2ccc(-n3ccnn3)cc2)cn1
83,CC1(C)CN(CC(=O)NCc2ccncc2)C1(C)C
84,OC1COc2cc(C(F)(F)F)cc(Cl)c2C1
85,CCN(C(=O)Cc1ccc(NC(C)=O)cc1)c1ccccc1
86,Nc1ccccc1C(=O)N1CCN(CCc2ccccc2)CC1
87,CCOC(=O)N1CCN(C(=O)Cc2ccc(-n3cccn3)cc2)CC1
88,O=C(CNc1ccc(F)c(F)c1F)N1CCCCCC1
89,CCOCCOc1ccc(-c2c(N)n[nH]c2CC)cc1
90,Cc1nc2c(s1)C(N(C)C(=O)c1ccc(-c3cc[nH]n3)cc1)CCC2
91,CCOc1ccc(Cl)cc1C(=O)Nc1cc(C)on1
92,CC(C)N(C)C(=O)Cc1ccc(-n2cnnn2)cc1
93,CCN(CC)C(=O)C1CC=CCC1C(=O)Nc1ccc(C)cc1
94,COCCOc1ccccc1C(=O)Nc1cccc(C(N)=O)c1
95,COc1ccc(C)nc1NC(=O)c1cc(C(C)C)on1
96,O=C(Nc1ccc(F)c(Cl)c1)N1CCC(O)C1
97,CC(=O)N1CCN(C(=O)COc2c(C)ccc(C)c2C)CC1
98,Cc1ccc(OCC(=O)NCc2cccnc2)cc1C
99,CC(NC(=O)N(C)C(C)C)c1ccc2c(c1)OCCCO2
100,Cc1sc(=O)n(CC(=O)N2CCCC2)c1-c1ccccc1
101,Nc1ccc(Cl)c(C(=O)NC2(c3ccccc3)CCC2)c1
102,COC(C)c1nc(CN(C)C(=O)Nc2ccn(C)n2)cs1
103,Cc1ccc(NC(=O)c2cc[nH]c2C)cc1C(F)(F)F
104,NC(=O)Cn1cc(NC(=O)Nc2cccc(-c3ccn[nH]3)c2)cn1
105,CCOC1CC2(CCN(C(=O)CC3Cc4ccccc4C3)CC2)C1
106,CCN1CCN(C(=O)CCNC(=O)c2cccc(-c3ccoc3)c2)CC1
107,CC(C)n1nnc2cc(C(O)C3COCCO3)ccc21
108,CC(Sc1nncn1C)C(=O)NCC1(c2ccc(F)cc2)CC1
109,CCCc1nc2onc(-c3ccc(Cl)cc3)c2c(=O)[nH]1
110,Cc1cccc(C(=O)Nc2ccccc2N2CCCC2=O)c1
111,COc1ccc(C)cc1-n1ccnc1SCC(=O)N(C)CC1CC1
112,CC(C)n1c(CN2CCOCC2)nc2cc(NC(=O)C3CC3)ccc21
113,O=C(CC1CCCC1)N1CCN(c2nc3ccccc3o2)CC1
114,Cc1nc2c(nnn2Cc2ccccc2)c(=O)n1-c1ccc(F)cc1
115,COc1ccc(CNC(=O)c2ccc(Br)cc2)cc1F
116,COc1ccc(C#CCNC(=O)c2ccc(OC)cc2)cc1
117,CCCN(C)c1ccc(C(=O)N2CC(c3nc(C)no3)C2)cc1
118,CCN(CC)C(=O)CCC1NC(=O)c2ccccc2N1
119,COc1cc(C)c(Cc2nc(CC(C)C)no2)cc1OC
120,Cc1ccc(C2(O)CCN(c3nc(C)nc4[nH]cnc34)CC2)nc1
121,Cc1ncc(CN2CCc3nc(C)n(C)c(=O)c3CC2)s1
122,Cc1ccc2[nH]nc(C(=O)N3CCCC(O)(CO)C3)c2c1
123,O=C(NCc1ccco1)c1ccc(-c2cccc(Cl)c2)nc1
124,CCOc1ccc2cc(C(=O)Nc3nc[nH]n3)[nH]c2c1
125,Clc1ccc2[nH]c(CSc3nnc4ccccn34)nc2c1
126,COc1ccc(CNC(=O)c2ccc(=O)n(C)c2)c(C(F)(F)F)c1
127,Cc1ccc(-n2nc(C(=O)NCCO)nc2-c2ccco2)cc1
128,CCN(Cc1cccc(F)c1)C(=O)c1cccnc1-n1cccn1
129,Cc1cccc(OCC(=O)Nc2c(C)n[nH]c2C)c1
130,CN(C)c1cccc(C(=O)Nc2ccccc2)c1F
131,COc1ccc(-n2ncc3c(NC4CC4)ncnc32)cc1
132,Cc1cc(F)ccc1NC(=O)c1cn2c3c(cccc3c1=O)CC2C
133,CCCCNC(=O)c1cnc(-c2ccc(F)cc2)nc1N
134,CC(CO)NC(=O)Nc1ccc(NCCc2ccccc2)cc1
135,CCCc1cc(C(=O)Nc2cccc(C(C)OC)c2)[nH]n1
136,Cn1cnc(-c2ccc(F)cc2)c1NC(=O)c1ccc(=O)[nH]c1
137,Cc1c(C(=O)NC2CCCc3ccccc32)nnn1-c1ccccc1
138,Cc1nc2nc(C(F)(F)F)nn2c(N)c1-c1ccc(Cl)cc1
139,NC(=O)c1cnn(-c2ccc(-c3ccc(F)cc3)nn2)c1N
140,NC(=O)c1cc(Cl)ccc1NCC(=O)NCc1ccc2c(c1)OCO2
141,CNC(=O)NCC(=O)N1CCC(Oc2c(C)cccc2C)CC1
142,CN(Cc1ccccc1)C(=O)C1CCC(=O)N(C2CCCCCC2)C1
143,CCN1C(=O)c2ccccc2NC1c1ccc(C)cc1
144,Cc1cc(NC(=O)Nc2ccc(C)c(C)c2)n(C)n1
145,Cc1csc2nc(OCC3CCCO3)c(CC#N)c(=O)n12
146,Cc1cc(C(=O)Nc2ccccc2Cl)c(C)o1
147,CC(C)N(Cc1ccccc1)C(=O)c1nc2ncccn2n1
148,O=C(c1cn2ccsc2n1)N1CCOc2ccccc21
149,COc1cc(C(C)(O)C(F)(F)F)c(OC)cc1SC
150,COc1cc(N2CCC(NC(=O)c3ccccc3Cl)C2)nc(N)n1
151,O=C(Nc1ccnn1Cc1ccccn1)c1cn2cccnc2n1
152,O=C(NCC1CCCO1)c1cc2c(cc1Cl)OCCO2
153,Cc1nc(N)ncc1C(=O)N1CCN(c2ncccn2)CC1
154,COc1cc(OC)nc(-c2ccc(-n3cncn3)cc2)n1
155,OCCOc1ccc(-c2ccc3c(c2)OCCO3)cc1
156,Cc1ccoc1C(=O)Nc1nc2cc(Cl)ccc2n1C
157,COCCn1nc(C(=O)N(C)c2cccc3ncccc23)ccc1=O
158,COc1cccc(-n2ccnc2SCC(=O)N(C)CC(C)C)c1
159,CCC1CCC(N(C(=O)Cn2nc3n(c2=O)CCCCC3)C2CC2)CC1
160,CCC(=O)NCC(=O)Nc1cnn(CC(=O)NC2CCCCC2)c1
161,CC(C)C(=O)Nc1cccc(NC(=O)NCc2ncc[nH]2)c1
