,smiles
0,Cc1cc(C)n(C(=O)CCOc2ccccc2)c(=O)n1
1,O=C(NCCCc1ccccc1)C1C2CCCC21
2,COc1ccccc1C(=O)Nc1ccnn1Cc1ccccc1Cl
3,NC(=O)c1cccc(CN(Cc2cocn2)Cc2nnnn2C2CC2)c1
4,CCCCc1nc(-c2nccn2CCc2cccc(O)c2)c[nH]1
5,O=C(NCc1ccoc1)c1cccc(Cl)c1Cl
6,Cc1nc2c(c(=O)n1C)CCN(C(=O)c1ccccc1)CC2
7,Cc1cc(C)c(NC(=O)c2c(F)cccc2F)c(C)c1
8,COc1ccnc(NC(=O)CCc2cccc(C)c2)c1
9,CCN1CCC2(CN(C(=O)NCc3ccco3)CC2C)C1=O
10,CC(C)Cn1c(SCCCO)nnc1N1CCOCC1
11,O=C(NCCCn1ncccc1=O)C1CC(=O)N(Cc2ccco2)C1
12,Cc1cnn(CCC(=O)Nc2ccc(S(=O)(=O)C(F)F)cc2)c1
13,CC(C)CC(C(=O)N1CCCC1)N1Cc2ccccc2C1=O
14,COC(=O)N1CCC(NC(=O)NCc2ccc(OC(C)C)nc2)CC1
15,COCC(NC(=O)c1sc(-c2ccsc2)nc1C)C(N)=O
16,Cc1cc(Cl)ccc1N(C)C(=O)CCCO
17,O=C(NCc1ccc(-n2cnc3ccccc32)cc1)C1CCC1
18,CCc1ccc(OC)c(CCN(C)C(=O)CC#N)c1
19,CCOC(=O)c1c(O)c2cccnc2n(Cc2ccccc2)c1=O
20,O=C(c1ccccc1F)N1CCC(Oc2nncc3ccccc23)CC1
21,COc1ccccc1CNC(=O)c1ccc(-c2ccccc2)[nH]c1=O
22,Cc1ccc(-c2nnc(Cc3nc(Cc4ccccc4)n[nH]3)o2)cc1
23,COCCn1cc(NC(=O)c2ccc(-n3ccnn3)cc2)cn1
24,CCN(C(=O)Cc1ccc(NC(C)=O)cc1)c1ccccc1
25,Nc1ccccc1C(=O)N1CCN(CCc2ccccc2)CC1
26,CCOC(=O)N1CCN(C(=O)Cc2ccc(-n3cccn3)cc2)CC1
27,CCOc1ccc(Cl)cc1C(=O)Nc1cc(C)on1
28,CCN(CC)C(=O)C1CC=CCC1C(=O)Nc1ccc(C)cc1
29,CC(NC(=O)N(C)C(C)C)c1ccc2c(c1)OCCCO2
30,COC(C)c1nc(CN(C)C(=O)Nc2ccn(C)n2)cs1
31,NC(=O)Cn1cc(NC(=O)Nc2cccc(-c3ccn[nH]3)c2)cn1
32,CCc1cc2c(=O)n(CC(=O)NC3CCCCC3)cnc2s1
33,Cc1ccccc1S(=O)(=O)NCc1ccco1
34,O=C(NC1CC1)C1CCCN1C(=O)Cc1cccs1
35,Cc1cccc(C(=O)Nc2ccccc2N2CCCC2=O)c1
36,COc1ccc(C)cc1-n1ccnc1SCC(=O)N(C)CC1CC1
37,O=C(CC1CCCC1)N1CCN(c2nc3ccccc3o2)CC1
38,Cc1nc2c(nnn2Cc2ccccc2)c(=O)n1-c1ccc(F)cc1
39,CCOC(=O)CN(Cc1nnc(-c2ccc(C)cc2)o1)C(C)C
40,COc1cc(C)c(Cc2nc(CC(C)C)no2)cc1OC
41,Cc1ccc(C2(O)CCN(c3nc(C)nc4[nH]cnc34)CC2)nc1
42,Cc1ncc(CN2CCc3nc(C)n(C)c(=O)c3CC2)s1
43,COc1ccc(CNC(=O)c2ccc(=O)n(C)c2)c(C(F)(F)F)c1
44,Cc1ccc(-n2nc(C(=O)NCCO)nc2-c2ccco2)cc1
45,CC1CN(CCC(=O)Nc2sccc2C#N)CCO1
46,Cc1cccc(OCC(=O)Nc2c(C)n[nH]c2C)c1
47,CN(C)c1cccc(C(=O)Nc2ccccc2)c1F
48,COC(=O)c1cccc(NS(=O)(=O)c2cnn(C)c2)c1C
49,CCCCNC(=O)c1cnc(-c2ccc(F)cc2)nc1N
50,O=C(NC(O)C(=O)c1ccc(Cl)cc1)c1ccsc1
51,Cn1cnc(-c2ccc(F)cc2)c1NC(=O)c1ccc(=O)[nH]c1
52,Cc1c(C(=O)NC2CCCc3ccccc32)nnn1-c1ccccc1
53,CCOC(=O)CCN1CC(C)Nc2cc(Cl)ccc21
54,NC(=O)c1cc(Cl)ccc1NCC(=O)NCc1ccc2c(c1)OCO2
55,CCN1C(=O)c2ccccc2NC1c1ccc(C)cc1
56,CCOc1cc(C(=O)NC(CC)c2ccc(OC)cc2)ccc1O
57,O=C(Cn1nc2ccccn2c1=O)c1cccc(Cl)c1
58,CN(C)C(=O)c1cccc(OC(=O)CCc2c[nH]c3ccccc23)c1
59,COCCn1nc(C(=O)N(C)c2cccc3ncccc23)ccc1=O
60,COc1cccc(-n2ccnc2SCC(=O)N(C)CC(C)C)c1
61,Cc1n[nH]c(-c2cccc(CNC(=O)C(C)(C)n3cncn3)c2)n1
62,COCC(C)NC(=O)CSc1nncn1C1CC1
63,COc1ccc(C(C)NS(=O)(=O)c2cccc(F)c2)cc1F
64,O=C(CNC(=O)C1CCCCC1)NCc1cccnc1
65,Cc1nc(C)c(C(=O)NCCCOCc2ccco2)s1
66,COC(=O)NCC(=O)NC(c1ccc(Cl)cc1)c1nccn1C
67,CNc1cc(C2CN(S(C)(=O)=O)CCO2)nc(C)n1
68,O=C(Cn1ccnc1)Nc1ccc(C(=O)NC2CC2)c(Cl)c1
69,N#Cc1ccc(OC(=O)CCc2ccccc2F)cc1
70,CCCC1CN(C(=O)CC2Oc3ccccc3NC2=O)CCO1
71,CN(CCOCC1CC1)S(=O)(=O)c1cc(Cl)ccc1C#N
72,O=C1COc2ccc(C(=O)Cn3ccc(C(F)(F)F)n3)cc2N1
73,CN(Cc1ccc2c(c1)OCCO2)C(=O)c1cccs1
74,COc1ccccc1C(=O)Nc1ccc(N2CCCC2)nc1
75,N#Cc1cccc(NC(=O)c2c[nH]c3c(F)cccc3c2=O)c1
76,O=C(COc1ccc(Cl)cc1)N1CCOCC1
77,CCOc1ccc(-c2ccc(OC)c3nc(N)nn23)cc1
78,Cc1ccc(-c2nn3c(CCO)nnc3s2)c(O)c1
79,CC(C)(C)c1nc2cc(O)ccc2n1Cc1cccnc1N
80,CC1CN(CC(=O)Nc2nncs2)c2ccccc2S1
81,O=C(CCCn1cccn1)Nc1nnc(-c2ccccn2)[nH]1
82,CN(C(=O)COC(=O)c1ccccc1C(F)(F)F)c1ccccc1
83,NC(=O)Nc1ccc(CNC(=O)c2ccc(C(F)(F)F)cc2)cc1
84,Cc1ccc(-c2noc(C(C)NC(=O)OC(C)(C)C)n2)cc1
85,CC(=O)Nc1c(C)cccc1C(=O)OC1CCCC1
86,Cc1c(C)c2ccc(OC(=O)c3cc(=O)[nH]c4ccccc34)cc2oc1=O
87,CC(C)CN1CCOC(CNS(=O)(=O)c2ccccc2)C1
88,O=C(Nc1cccc(CO)c1)c1ccc2c(c1)CCCC2
89,CCN1CC(C(=O)N(C)CCCOc2ccccc2)CC1=O
90,CC(C)(C)c1ncc2c(n1)CN(C(=O)c1ccc(-n3cccc3)cc1)C2
91,Cc1ccc(C)c(NCC(=O)NC2CCOCC2)c1
92,O=C(Nc1ccc2c(c1)COC2)c1cccc2c1NCCC2
93,CCNC(=O)CN(CC)C(=O)c1ncn(-c2ccccc2)n1
94,CC(C)Cc1ncc(CNC(=O)N2CCCCCC2)s1
95,COC(=O)c1ccc(NC(=O)c2ccccc2)cc1
96,CCN(CC)C(=O)NCc1ccccc1N1CCCC1=O
97,CC(=O)Nc1cc(NC(=O)c2ccccn2)ccc1Cl
98,COc1ccccc1C(=O)Nc1cnn(CC2CC2)c1
99,COc1ccc(C2NCCc3ccc(F)cc32)cc1OC
100,O=C(Cc1cccs1)Nc1ccc(NC(=O)C2CCCO2)cn1
101,O=C(Nc1ccsc1C(=O)Nc1cccnc1)c1ccccc1Cl
102,CC1CCC(CNS(=O)(=O)c2ccc3c(c2)OCCO3)CC1
103,Cc1cc(N(CCO)CCO)n2c(nc3ccccc32)c1C#N
104,Cc1cc(C)n2cc(CN3CCn4c(nnc4C4CC4)C3)nc2n1
105,Nc1ccc(Cl)c(CS(=O)(=O)NCC(F)(F)F)c1
106,CC(C)(C)NC(=O)NCCC(=O)N1CCCc2ccccc21
107,CCCNC(=O)CCNC(=O)NCC1CCC(C)(C)CC1
108,COc1c(NC(=O)Cc2c[nH]c3ccccc23)c(C)nn1C
109,CCOc1c(Cl)cccc1NC(=O)c1n[nH]c2ccccc12
110,COc1cccc(Nc2cnn(CC(=O)N(C)C)c2)c1
111,Cc1cc(C)n2nc(C(=O)OCC(=O)c3ccc(C)c(C)c3)nc2n1
112,Cc1ccc(N2CC(C(=O)Nc3nc(C(N)=O)cs3)CC2=O)cc1
113,CCc1onc(C)c1NC(=O)N1CCc2c(F)ccc(F)c2C1
114,CCOc1ccc(Cl)cc1NC(=O)c1cccc(NC(C)=O)c1
115,Cc1ccc(C(NC(=O)NCC2(O)CCOCC2)C2CC2)cc1
116,Cc1cccc(CNC(=O)CN(C)c2ncnc3[nH]cnc23)c1C
117,CC(C)S(=O)(=O)NCc1ccnc(OC2CCCCC2)c1
118,Fc1ccc(-n2cnnn2)cc1NCC1CC2C=CC1C2
119,CCn1nc(C)c(CNC(=O)c2nn(C)c(=O)c3ccccc23)c1C
120,COCCCNC(=O)Cc1nc(-c2cccs2)oc1C
121,CNC(=O)Cn1cnc(NC(=O)C2CCOC2)n1
122,CC(C)CN(C(=O)C1CNC(=O)N1)C1CCCCC1
123,Cn1c(=O)c(CN2CCOC3CCCCC32)nc2ccccc21
124,CCn1ncc2c(C(=O)NCC(C)C)cc(-c3cnn(C)c3)nc21
125,COCC(C)NC(=O)N1CCN(S(=O)(=O)c2cccnc2)CC1
126,Cc1ccccc1NC(=O)NCCC(=O)NCc1ccccn1
127,CC(NC(=O)c1sccc1-n1cccc1)C(=O)N1CCCCC1
128,O=C(COc1ccc2c(c1)CCC2)Nc1nnc(-c2ccccn2)o1
129,c1ccc2[nH]c(C3CCCCCN3Cc3ccncc3)nc2c1
130,CCCC(=O)NC(CC)c1nc2ccccc2n1C
131,CCOc1ccccc1NC(=O)c1ccc(NCC(=O)NC)cc1
132,CC1CC(C)CN(C(=O)c2cc(-c3ccco3)on2)C1
133,Cn1ccc(C(=O)N2CCC(Cc3nc4ccccc4s3)CC2)n1
134,COc1ccccc1Cc1nnc(NC(=O)c2ccccc2Cl)o1
135,C=CCNC(=O)c1ccc(NC(=O)NC(C)c2ccccn2)cc1
136,COC(=O)c1cc(S(=O)(=O)NCc2ccc(C)cc2)c[nH]1
137,COc1ccccc1CNC(=O)Cn1cccc(C)c1=O
138,CCc1noc(C)c1C(=O)Nc1ccccc1-c1nc(C(C)C)n[nH]1
139,CCOc1cccc(CNC(=O)NCc2cccs2)c1
140,O=C(Nc1ncnc2sccc12)c1cccc(Cl)c1
141,COC(=O)c1cc(S(N)(=O)=O)ccc1N1CCCC1CO
142,CCOC(=O)C(C)NC(=O)CNC(=O)c1cc(C)cc(C)c1
143,CC(=O)Nc1cccc(NC(=O)c2noc3c2CCc2sccc2-3)c1
144,Cc1nonc1NC(=O)c1cccc(-n2cnnn2)c1
145,O=C(NCc1nncn1-c1ccccc1)c1cc2ccc(Cl)cc2[nH]1
146,O=C(c1ccccc1)N1CCC(c2nc3ccccc3[nH]2)CC1
147,COc1ccc(Cc2noc(Cn3nc(C)nc3C)n2)cc1
148,CCc1ccc(C(=O)N2CCCC2C(=O)NCc2ccco2)o1
149,CCCn1nc(-c2ccccc2)cc1C(=O)NCc1ccncc1
150,CCC(CO)Nc1nc(C)nc2scc(-c3ccc(C)cc3)c12
151,N#Cc1nnn(-c2ccc(F)cc2)c1COc1ccccc1
152,O=C(CCSc1ccccc1Cl)NCCN1CCOCC1
153,Cc1cccc(OCCCn2nnc(C#N)c2C2CCC2)c1
154,Cc1nc(C(=O)Nc2cc(Cl)ccc2O)cs1
155,COc1cc(C(C)=O)ccc1OC(C)C(=O)NC1CCC(C)CC1
156,COc1ccc(N2CC(C(=O)OCC3CCCO3)CC2=O)cc1
157,C=CCCC(=O)N1CCCC(C(=O)NC2CC2C)C1
158,CN(C)C(=O)CCNC(=O)NCC1CCOC1
159,COCc1ccccc1C(=O)NC1CCCN(C(=O)OC(C)(C)C)C1
160,Cc1ccc(OCC(=O)NCc2cnn(Cc3ccccc3)c2)cc1
